order,title,level,file,activity_url,audio_public_url,review,spotify_description_short
1,"Français B1 · Travailler au Québec ?","B1 · Niveau 7","episodes/01-travailler-au-quebec.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/comprehension-orale-conditionnel-quebec-b1.html","https://www.jaralingua.com/frances/Niveau%207/audio/conditionnel-quebec-opportunites-b1.mp3","Conversation B1 sur les opportunités professionnelles au Québec, les démarches, le français au travail et la construction d’un projet réaliste.","Français B1 · Niveau 7. Écoute pour travailler le conditionnel, la mobilité et le vocabulaire professionnel."
2,"Français B1 · Culture colombienne","B1 · Niveau 7","episodes/02-culture-colombienne.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/comprehension-orale-b1-niveau7.html","https://www.jaralingua.com/frances/Niveau%207/audio/niveau7-culture-colombienne-pilote-b1.mp3","Compréhension orale B1 sur l’identité culturelle, les pratiques sociales et le regard interculturel depuis la Colombie.","Français B1 · Niveau 7. Écoute pour parler de culture colombienne, d’identité et de représentations."
3,"Français B1 · Culture française","B1 · Niveau 7","episodes/03-culture-francaise.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/comprehension-orale-b1-niveau7.html","https://www.jaralingua.com/frances/Niveau%207/audio/niveau7-culture-francaise-b1.mp3","Chronique B1 sur des références de la culture française et des habitudes utiles pour comparer les sociétés.","Français B1 · Niveau 7. Écoute pour identifier des références culturelles françaises et enrichir la comparaison."
4,"Français B1 · Comparaison France-Colombie","B1 · Niveau 7","episodes/04-comparaison-france-colombie.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/comprehension-orale-b1-niveau7.html","https://www.jaralingua.com/frances/Niveau%207/audio/niveau7-comparaison-france-colombie-b1.mp3","Audio comparatif B1 pour identifier ressemblances, contrastes, nuances culturelles et connecteurs de comparaison.","Français B1 · Niveau 7. Écoute pour comparer la France et la Colombie avec nuance."
5,"Français B1 · Mérite et travail public","B1 · Niveau 7","episodes/05-merite-et-travail-public.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/comprehension-orale-b1-niveau7.html","https://www.jaralingua.com/frances/Niveau%207/audio/niveau7-merite-travail-public-colombie-b1.mp3","Compréhension orale B1 sur le mérite, l’emploi public, la perception sociale et l’argumentation autour du travail.","Français B1 · Niveau 7. Écoute pour discuter du mérite, du travail et de la société."
6,"Français B1 · Colombiens, France et Canada","B1 · Niveau 7","episodes/06-colombiens-france-canada.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/comprehension-orale-b1-niveau7.html","https://www.jaralingua.com/frances/Niveau%207/audio/niveau7-travail-colombiens-france-canada-b1.mp3","Audio B1 sur mobilité, adaptation professionnelle, parcours de Colombiens en contexte francophone et vocabulaire du travail.","Français B1 · Niveau 7. Écoute sur la mobilité professionnelle vers la France et le Canada."
7,"Français B1 · Culture française","B1 · Niveau 7","episodes/07-culture-francaise-b1.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/ecoute-cultures-b1.html","https://www.jaralingua.com/frances/Niveau%207/audio/culture-francaise-b1.mp3","Chronique culturelle B1 courte pour entraîner l’écoute, repérer des idées principales et préparer une comparaison interculturelle.","Français B1 · Niveau 7. Écoute culturelle pour observer des habitudes et références françaises."
8,"Français B1 · Culture colombienne","B1 · Niveau 7","episodes/08-culture-colombienne-b1.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/ecoute-cultures-b1.html","https://www.jaralingua.com/frances/Niveau%207/audio/culture-colombienne-b1.mp3","Chronique culturelle B1 courte pour comparer pratiques, représentations, habitudes et vocabulaire de la vie quotidienne.","Français B1 · Niveau 7. Écoute culturelle pour parler de la Colombie en français."
9,"Français B1 · Culture québécoise — Québec","B1 · Niveau 7","episodes/09-culture-quebecoise-quebec.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/comprehension-orale-culture-quebec-b1.html","https://www.jaralingua.com/frances/Niveau%207/audio/culture-quebecoise-quebec-b1.mp3","Version B1 avec accent québécois pour travailler la compréhension, les références culturelles et la musicalité du français québécois.","Français B1 · Niveau 7. Écoute avec accent québécois pour découvrir la culture du Québec."
10,"Français B1 · Culture québécoise — France","B1 · Niveau 7","episodes/10-culture-quebecoise-france.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/comprehension-orale-culture-quebec-b1.html","https://www.jaralingua.com/frances/Niveau%207/audio/culture-quebecoise-france-b1.mp3","Même chronique B1 lue avec un accent de France pour comparer prononciation, rythme et perception de la culture québécoise.","Français B1 · Niveau 7. Écoute avec accent de France pour comparer deux versions d’un même contenu."
11,"Français B1 · Akari à Tokyo","B1 · Niveau 7","episodes/11-akari-a-tokyo.mp3","https://www.jaralingua.com/frances/Niveau%207/ateliers/chaperons-rouges-du-monde.html","https://www.jaralingua.com/frances/Niveau%207/audio/caperucita/akari-tokyo-recit.mp3","Récit modèle B1 inspiré du Petit Chaperon rouge, transformé dans un contexte japonais pour travailler narration et passé simple.","Français B1 · Niveau 7. Récit pour travailler le conte, la narration et le passé simple."
